"mun_id","mun_nom","pob_tot","sup_km2","mun_loc_tot","reg","dist","pob_18_44","pea_tot","pea_ocup","pea_ocup_inf","pct_pea","pct_ocup_pea","pct_ocup_inf","loc_princ_1","loc_princ_2","loc_princ_3","sec_princ","ue_sec_tot","ue_mun_tot","pymes_tot","prod_princ_1","vol_gan_1","prod_princ_2","vol_gan_2","prod_princ_3","vol_gan_3","cult_princ_1","vol_agri_1","cult_princ_2","vol_agri_2","cult_princ_3","vol_agri_3","viv_tot","viv_sin_agua","pct_viv_sin_agua","viv_sin_pc","pct_viv_sin_pc","viv_sin_dren","pct_viv_sin_dren","viv_sin_luz","pct_viv_sin_luz","viv_sin_int","pct_viv_sin_int","esc_ms_23_24","alum_ms_23_24","esc_sup_23_24","alum_sup_23_24","caren_salud","caren_seg_soc","acceso_alim","rez_educ","pobreza_multi","pobreza_ext","pobreza_mod","vul_caren_soc","vul_ing","no_pob_no_vul","afiliacion_salud","rama_princ_1","artesanos_tot_1","rama_princ_2","artesanos_tot_2","rama_princ_3","artesanos_tot_3","artesanos_tot_mun","vacb","total_ingresos","pct_de_18"
"319",San Pedro Mixtepec,972,"154.6",2,Sierra Sur,Miahuatlán,338,404,399,371,56.48,98.73,93.03,San Pedro Mixtepec Distrito 26,Agua Fría,Rancho Conejo,Comercio al por menor,18,43,1,Leche de Bovino,"79.04",Ganado en pie de Bovino,"14.60",Ganado en pie de Porcino,"10.81",Maíz grano,"254.8",Durazno,"26.86",Tomate rojo (jitomate),"22.50",321,3,0.93,317,98.75,23,7.17,8.0,2.49,305,95.02,0.0,0.0,0.0,0.0,204,678,165,283,888,277,611,42,40,2,769,,,,,,,,4.433,5.634,34.77
"320",San Pedro Molinos,706,"26.4",7,Mixteca,Tlaxiaco,217,292,288,265,55.45,98.7,92.16,San Pedro Molinos,Asunción Buenavista,San Isidro,Comercio al por menor,15,34,3,Leche de Bovino,"22.61",Ganado en pie de Bovino,"18.17",Carne de Bovino,"09.51",Maíz grano,"239.7",Aguacate,"50.99",Tomate rojo (jitomate),"42.19",226,10,4.42,197,87.17,63,27.88,3.0,1.33,186,82.30,0.0,0.0,0.0,0.0,176,484,147,171,606,209,397,64,17,19,519,,,,,,,,2.207,2.88,30.74
"321",San Pedro Nopala,751,"109.6",12,Mixteca,Teposcolula,232,296,294,294,56.4,99.32,99.84,San Pedro Nopala,Yosocuno,Zandaye,Comercio al por menor,10,24,1,Ganado en pie de Bovino,"48.68",Carne de Bovino,"25.51",Ganado en pie de Porcino,"23.60",Maíz grano,"74.01",Frijol,"31.21",Trigo grano,"22.31",200,6,3.00,197,98.50,25,12.50,2.0,1.0,195,97.50,0.0,0.0,0.0,0.0,191,635,413,227,719,368,352,24,8,0,563,,,,,,,,0.787,1.912,30.89
"322",San Pedro Ocopetatillo,786,"6.6",1,Cañada,Teotitlán,247,317,313,284,55.22,98.78,90.72,San Pedro Ocopetatillo,,,Comercio al por menor,26,54,1,Ganado en pie de Ave,"95.56",Carne de Ave,"71.72",Miel de Abeja,"24.81",Maíz grano,"250.8",Café cereza,"189.8",Durazno,"46.12",245,19,7.76,238,97.14,97,39.59,3.0,1.22,236,96.33,0.0,0.0,0.0,0.0,73,656,283,382,754,393,361,20,6,7,708,,,,,,,,3.483,7.999,31.42
"323",San Pedro Ocotepec,2404,"42.1",6,Sierra Norte,Mixe,961,1055,1039,873,62.12,98.54,84.0,San Pedro Ocotepec,Santa Cruz Ocotal,Unión y Progreso,Comercio al por menor,37,63,1,Ganado en pie de Bovino,"12.95",Carne de Bovino,"06.55",Leche de Bovino,"05.51",Maíz grano,"654.0",Café cereza,"358.4",Caña de azúcar piloncillo,"173.2",556,9,1.62,525,94.42,145,26.08,14.0,2.52,525,94.42,1.0,44.0,0.0,0.0,25,2127,330,756,2231,712,1519,148,14,11,2378,,,,,,,,2.234,11.994,39.98
"324",San Pedro Pochutla,48204,"444.9",140,Costa,Pochutla,19369,21247,20992,16299,62.5,98.8,77.65,San Pedro Pochutla,Puerto Ángel,San José Chacalapa,Comercio al por menor,1234,3456,109,Ganado en pie de Bovino,"451.9",Carne de Bovino,"242.2",Leche de Bovino,"183.2",Pastos y praderas,"29,77",Plátano,"1,618",Café cereza,"978.1",12662,1171,9.25,10634,83.98,1361,10.75,418.0,3.3,8973,70.87,6.0,1865.0,5.0,987.0,25628,40604,12393,14526,24296,6342,17954,23679,563,3413,29541,Fibras Vegetales,2,Materiales Diversos,2,Textiles,2,7,758.541,2375.052,40.18
"325",San Pedro Quiatoni,11930,"564.1",42,Valles Centrales,Tlacolula,4770,5192,5119,4544,61.62,98.59,88.76,San Pedro Quiatoni,La Soledad Salinas,San Pablo Lachiriega,Comercio al por menor,259,452,19,Ganado en pie de Porcino,"135.3",Leche de Bovino,"125.5",Carne de Porcino,"100.1",Agave,"3,024",Maíz grano,"1,925",Tomate rojo (jitomate),"1,321",3096,335,10.82,2963,95.70,452,14.60,122.0,3.94,2978,96.19,2.0,171.0,0.0,0.0,2548,10393,2930,5254,11474,6018,5456,415,34,13,9362,Textiles,29,,,,,29,22.49,84.713,39.98
"326",San Pedro Sochiápam,5052,"152.2",9,Cañada,Cuicatlán,1721,1966,1941,1700,60.39,98.71,87.56,San Pedro Sochiápam,San Juan Zautla,San Juan Zapotitlán,Comercio al por menor,51,98,5,Ganado en pie de Ave,"117.9",Carne de Ave,"88.51",Leche de Bovino,"48.93",Maíz grano,"1,947",Café cereza,"984.9",Tomate rojo (jitomate),"39.60",1208,185,15.31,1131,93.63,734,60.76,45.0,3.73,1180,97.68,2.0,170.0,0.0,0.0,1247,4183,2959,1882,4749,2829,1921,154,127,23,3778,Textiles,2,,,,,2,3.671,14.327,34.07
"327",San Pedro Tapanatepec,15479,"993.7",118,Istmo,Juchitán,5479,6580,6467,5225,59.42,98.29,80.79,San Pedro Tapanatepec,Los Corazones,Rincón Juárez,Comercio al por menor,325,850,42,Ganado en pie de Bovino,"571.8",Leche de Bovino,"560.8",Carne de Bovino,"310.7",Pastos y praderas,"291,0",Mango,"123,3",Maíz grano,"2,628",4479,432,9.65,3994,89.17,188,4.20,87.0,1.94,3750,83.72,3.0,460.0,0.0,0.0,7211,12349,5767,5765,8487,2236,6251,6126,201,963,10710,,,,,,,,181.156,715.781,35.40
"328",San Pedro Taviche,1441,"98.4",2,Valles Centrales,Ocotlán,603,626,614,471,64.04,98.11,76.68,San Pedro Taviche,Guigorene,Río San Antonio,Industria manufacturera,296,317,5,Leche de Bovino,"394.5",Ganado en pie de Bovino,"100.7",Carne de Bovino,"53.52",Maíz grano,"203.7",Agave,"108.1",Frijol,"03.25",359,66,18.38,354,98.61,179,49.86,5.0,1.39,323,89.97,0.0,0.0,0.0,0.0,321,1347,372,521,1369,741,628,72,0,1,1120,Madera Tallada,231,,,,,231,7.516,22.059,41.85
"329",San Pedro Teozacoalco,1153,"93",10,Mixteca,Nochixtlán,373,476,473,473,56.32,99.32,100.0,San Pedro Teozacoalco,San José Río Minas,San Antonio el Progreso,Industria manufacturera,27,72,3,Leche de Bovino,"65.98",Ganado en pie de Bovino,"57.43",Ganado en pie de Porcino,"43.04",Maíz grano,"832.6",Agave,"301.7",Alfalfa verde,"36.35",347,16,4.61,331,95.39,158,45.53,13.0,3.75,312,89.91,1.0,40.0,0.0,0.0,371,943,503,318,1057,515,542,84,7,6,779,,,,,,,,1.4,6.926,32.35
"330",San Pedro Teutila,4296,"148.7",17,Cañada,Cuicatlán,1612,1795,1776,1620,59.18,98.89,91.25,Santo Domingo del Río,San Pedro Teutila,El Faro,Comercio al por menor,53,92,2,Ganado en pie de Bovino,"143.8",Ganado en pie de Ave,"108.8",Leche de Bovino,"95.56",Maíz grano,"1,045",Caña de azúcar piloncillo,"574.8",Café cereza,"497.7",1170,15,1.28,1098,93.85,769,65.73,34.0,2.91,768,65.64,2.0,108.0,0.0,0.0,541,3784,2157,1526,3999,1984,2015,274,17,8,3750,,,,,,,,3.912,12.667,37.52
"331",San Pedro Tidaá,982,"45.9",4,Mixteca,Nochixtlán,280,396,392,380,55.03,98.95,96.89,San Pedro Tidaá,Barrio Chico,Yucutixiha,Industria manufacturera,103,162,5,Leche de Bovino,"31.30",Ganado en pie de Bovino,"18.62",Ganado en pie de Porcino,"15.59",Maíz grano,"148.9",Trigo grano,"86.22",Alfalfa verde,"61.13",331,9,2.72,305,92.15,133,40.18,7.0,2.11,291,87.92,1.0,67.0,0.0,0.0,135,708,379,358,857,328,529,87,24,14,846,,,,,,,,3.384,12.488,28.51
"332",San Pedro Topiltepec,373,"32.8",3,Mixteca,Teposcolula,94,164,162,139,54.09,98.58,86.28,Santa María Tiltepec,San Pedro Topiltepec,La Purísima,Comercio al por menor,5,15,0,Ganado en pie de Bovino,"29.42",Carne de Bovino,"15.50",Ganado en pie de Ovino,"11.48",Maíz grano,"57.85",Trigo grano,"43.45",Frijol,"12.31",131,0,0.00,120,91.60,10,7.63,1.0,0.76,99,75.57,0.0,0.0,0.0,0.0,53,245,46,105,300,69,230,31,24,19,321,,,,,,,,0.031,2.198,25.20
"333",San Pedro Totolápam,3294,"401.8",13,Valles Centrales,Tlacolula,1300,1533,1493,908,61.47,97.36,60.86,San Pedro Totolápam,San José de Gracia,El Trapichito,Comercio al por menor,72,185,10,Leche de Bovino,"937.2",Ganado en pie de Bovino,"285.5",Carne de Bovino,"150.5",Maíz grano,"974.4",Agave,"795.0",Sandía,"207.2",942,4,0.42,783,83.12,89,9.45,13.0,1.38,674,71.55,1.0,68.0,0.0,0.0,909,1956,485,825,1540,230,1309,1259,83,415,2358,,,,,,,,1695.891,2387.469,39.47
"337",San Pedro y San Pablo Ayutla,5616,"171.7",26,Sierra Norte,Mixe,1730,2175,2146,1935,56.03,98.67,90.16,San Pedro y San Pablo Ayutla,El Duraznal,Lachicocana,Comercio al por menor,176,411,12,Ganado en pie de Bovino,"123.6",Leche de Bovino,"70.95",Carne de Bovino,"64.95",Maíz grano,"687.4",Frijol,"109.6",Aguacate,"103.7",1588,134,8.44,1417,89.23,308,19.40,68.0,4.28,1424,89.67,1.0,203.0,0.0,0.0,1540,4246,1223,2467,4504,1957,2547,804,121,190,4066,,,,,,,,39.68,151.462,30.80
"339",San Pedro y San Pablo Teposcolula,4353,"178.8",22,Mixteca,Teposcolula,1643,1910,1872,1385,59.16,98.04,73.96,San Pedro y San Pablo Teposcolula,Guadalupe Vista Hermosa,San Miguel Tixá,Comercio al por menor,120,316,9,Ganado en pie de Bovino,"181.9",Carne de Bovino,"97.25",Leche de Bovino,"48.86",Maíz grano,"385.7",Alfalfa verde,"195.6",Trigo grano,"100.5",1224,45,3.68,924,75.49,230,18.79,23.0,1.88,961,78.51,1.0,318.0,2.0,909.0,789,2943,646,688,2121,322,1799,1428,137,668,3484,,,,,,,,28.611,80.132,37.74
"340",San Pedro y San Pablo Tequixtepec,1747,"180.2",21,Mixteca,Huajuapan,512,755,745,645,53.64,98.69,86.56,San Pedro y San Pablo Tequixtepec,San Miguel Ixtápam,San José Trujápam,Industria manufacturera,36,80,2,Ganado en pie de Caprino,"89.67",Ganado en pie de Bovino,"67.72",Carne de Caprino,"45.12",Maíz grano,"327.7",Pitaya,"109.9",Tomate rojo (jitomate),"24.90",613,27,4.40,579,94.45,59,9.62,21.0,3.43,593,96.74,0.0,0.0,0.0,0.0,363,1061,444,505,1396,427,969,191,93,68,1384,,,,,,,,2.904,6.318,29.31
